# 36C_NBD_Time,36C_NBD,36C_FRET_Time,36C_FRET,68C_NBD_Time,68C_NBD,68C_FRET_Time,68C_FRET,126C_NBD_Time,126C_NBD,126C_FRET_Time,126C_FRET
0,1,0,-0.694023014,0,1,0,-0.149346143,0,1,0,-0.53830931
29.066,1.00076539,29.055,4.7649902,29.153,1.121142937,29.075,7.434908222,29.034,1.137884243,29.289,2.709585977
58.263,1.015427285,58.127,11.73855894,58.421,1.304421825,58.238,20.08410516,58.327,1.322838397,58.323,9.69571842
87.524,1.030315127,87.324,16.54603794,87.639,1.37740685,87.5,28.06606216,87.34,1.423079074,87.614,13.76987527
116.732,1.040511241,116.583,17.93113642,116.651,1.454559789,116.728,31.78437258,116.32,1.523792665,116.63,16.31163529
145.743,1.047045129,145.785,18.96757726,145.707,1.524877282,145.741,31.61292348,145.419,1.601317686,145.61,16.44398459
174.773,1.046999163,174.805,19.47598958,174.675,1.540626877,174.787,32.22984601,174.516,1.679024567,174.708,16.71101471
203.847,1.059932351,203.838,19.33329134,203.788,1.606071389,203.76,31.99418692,203.466,1.738289812,203.794,16.48868022
232.952,1.046187099,232.905,19.5980156,232.829,1.631936783,232.869,33.46129694,232.528,1.80878359,232.748,16.99958753
261.995,1.063594352,262.017,19.08411844,261.832,1.65910826,261.911,32.39682707,261.55,1.876427721,261.818,18.04280517
291.015,1.067765106,291.068,18.64989115,290.843,1.667438692,290.913,33.12367298,290.528,1.909022234,290.85,18.2375149
320.029,1.072848807,320.074,16.38639212,319.907,1.705018314,319.924,33.13945367,319.712,1.983809363,319.831,17.32110892
348.981,1.073303083,349.093,16.69524783,348.985,1.731306888,348.988,32.85891764,348.868,2.022802213,349,19.2086784
378.033,1.071498684,378.038,18.02565984,378.15,1.725663732,378.063,34.00408629,377.818,2.087164551,378.148,19.74659145
407.242,1.061432173,407.103,16.84398904,407.184,1.780337643,407.241,34.22726144,406.83,2.117364567,407.105,18.99343482
436.254,1.069510947,436.304,19.96945919,436.216,1.768932367,436.255,33.63385702,435.84,2.169225253,436.119,21.05031384
465.329,1.061194657,465.315,18.97475906,465.227,1.816571577,465.296,34.8917276,464.907,2.238700886,465.131,19.206493
494.341,1.07216129,494.401,17.60959874,494.188,1.828820711,494.31,35.19382701,493.865,2.266730871,494.194,18.71322505
523.372,1.080871648,523.394,17.67612599,523.253,1.828429777,523.277,34.4327982,522.933,2.323389387,523.163,19.9523551
552.344,1.078750104,552.436,16.48720844,552.219,1.831571976,552.333,34.60908618,551.933,2.353097431,552.221,18.77302692
581.389,1.09101389,581.395,16.12453191,581.298,1.872410398,581.302,33.97231274,580.817,2.409715334,581.218,19.86836179
610.367,1.085456742,610.446,15.79715577,610.184,1.889922246,610.368,34.59456215,609.861,2.446375075,610.108,20.01890818
639.265,1.089454689,639.426,15.48492706,639.152,1.892616743,639.264,33.57933499,638.877,2.473000308,639.147,18.9550127
668.329,1.093106884,668.319,14.0651192,668.195,1.88766262,668.234,31.39258059,668.001,2.515441802,668.162,19.85744251
697.277,1.089588044,697.391,13.97624192,697.282,1.866414269,697.278,34.10701933,696.918,2.561591252,697.288,19.08143814
726.342,1.088333282,726.346,13.13447814,726.23,1.89276153,726.373,36.89226237,725.929,2.589137514,726.205,19.35592058
755.302,1.091847717,755.403,12.9560119,755.232,1.919084863,755.31,32.48250563,754.942,2.603515152,755.215,18.52962428
784.322,1.093874029,784.374,12.81253924,784.224,1.914941218,784.313,33.08283868,784.078,2.642250544,784.23,19.91110234
813.41,1.106242612,813.385,11.8818317,813.38,1.922938877,813.315,33.37363534,813.05,2.677075011,813.375,18.73607211
842.475,1.099178009,842.48,11.19338436,842.434,1.91549184,842.473,32.60187168,842.062,2.718137356,842.334,18.36502442
871.548,1.100708411,871.532,9.222198797,871.449,1.93324095,871.514,32.28602549,871.125,2.739632193,871.349,16.53205278
900.562,1.098990339,900.618,9.72673251,900.428,1.922866355,900.527,33.28863993,900.23,2.779191224,900.407,16.59121028
929.593,1.102188862,929.631,10.58024435,929.596,1.929835745,929.508,32.7972697,929.262,2.759024798,929.527,18.28535235
958.688,1.090317702,958.65,9.326210654,958.546,1.90550974,958.681,33.4319144,958.276,2.805350128,958.54,16.77833866
987.75,1.081901245,987.738,9.832069742,987.63,1.915158527,987.636,32.67024711,987.26,2.842939146,987.555,16.20853278
1016.744,1.091339094,1016.811,7.657809829,1016.641,1.916100224,1016.71,32.53782666,1016.288,2.873758776,1016.549,16.37515828
1045.726,1.09502905,1045.813,8.037361777,1045.686,1.929314188,1045.721,31.96236325,1045.333,2.895612135,1045.577,16.54728427
1074.774,1.092898425,1074.794,7.175621429,1074.648,1.936747487,1074.758,31.44553857,1074.32,2.913443302,1074.62,14.19210789
1103.798,1.101479831,1103.839,6.925965778,1103.7,1.925865754,1103.737,31.79569871,1103.377,2.964469678,1103.623,14.1311008
1132.769,1.100937747,1132.854,6.916541352,1132.688,1.937022897,1132.78,30.82234699,1132.335,2.986719123,1132.666,14.72364143
1161.763,1.102847691,1161.829,6.070816129,1161.721,1.946166561,1161.763,29.61476442,1161.411,3.000962315,1161.633,13.83090403
1190.825,1.108878568,1190.83,5.877443857,1190.69,1.928995322,1190.8,30.95215473,1190.369,3.02655115,1190.689,14.4420944
1219.859,1.100841887,1219.877,7.236741342,1219.745,1.936167742,1219.772,31.25907265,1219.38,3.056585585,1219.661,13.59753484
1248.87,1.103656857,1248.908,6.086990758,1248.757,1.936964795,1248.835,30.23203901,1248.436,3.082087076,1248.67,13.32969325
1277.913,1.104987222,1277.921,6.903083256,1277.729,1.933371347,1277.849,30.23780534,1277.407,3.099799765,1277.732,13.99156399
1306.89,1.116374541,1306.972,6.504859719,1306.792,1.940515014,1306.809,27.4032873,1306.418,3.12247643,1306.694,13.7373448
1335.874,1.113028935,1335.951,6.496081743,1335.803,1.944949368,1335.871,29.86334333,1335.429,3.151371253,1335.707,13.2223622
1364.906,1.11464324,1364.945,5.218904949,1364.82,1.925952694,1364.885,29.3193281,1364.442,3.167123407,1364.722,12.66284208
1393.917,1.112382303,1393.968,5.028230374,1393.85,1.943181439,1393.895,27.96342722,1393.522,3.179542016,1393.741,12.50741756
1422.928,1.117934878,1422.98,4.418910815,1422.798,1.939703628,1422.927,27.97468637,1422.506,3.206184643,1422.813,11.6934398
1451.962,1.111915249,1452,5.525266205,1451.873,1.957368721,1451.877,27.13581673,1451.562,3.229099496,1451.794,11.08626649
1480.941,1.113767272,1481.014,3.908100682,1480.873,1.954934108,1480.947,27.8812895,1480.542,3.248172355,1480.859,11.01440223
1510.018,1.118414564,1510.003,3.872791751,1509.919,1.952137173,1509.953,26.86933972,1509.573,3.267371042,1509.841,12.00705193
1539.001,1.118285242,1539.078,4.386209012,1538.941,1.9641514,1538.997,28.16796498,1538.608,3.278448125,1538.854,11.67861273
1568.012,1.119107113,1568.068,4.854272884,1567.888,1.93726927,1568.01,27.11419179,1567.579,3.293650945,1567.896,11.57370662
1597.074,1.123475448,1597.082,3.663694733,1596.919,1.955238357,1596.978,27.0500165,1596.588,3.313275875,1596.866,11.25103212
1626.013,1.115615318,1626.143,3.470365715,1625.964,1.943645036,1626.002,28.73374698,1625.64,3.337785118,1625.879,10.93977285
1655.056,1.12514038,1655.075,3.547552873,1654.939,1.974470987,1655.053,27.49615744,1654.742,3.354881866,1654.938,10.36480436
1684.102,1.124042999,1684.115,4.212500266,1684.125,1.964557207,1684.015,27.47814369,1683.803,3.370371383,1684.026,10.76321867
1713.208,1.121472839,1713.16,3.657615966,1713.083,1.951861762,1713.203,27.90761475,1712.824,3.377648298,1713.091,10.78912476
1742.261,1.125336504,1742.258,4.729836107,1742.116,1.945340528,1742.173,26.18063813,1741.919,3.416987455,1742.107,10.1037893
1771.219,1.120062589,1771.322,4.824165344,1771.182,1.952021196,1771.198,26.80576057,1770.838,3.428306087,1771.213,9.773132733
1800.284,1.126713543,1800.281,2.810974422,1800.14,1.933892903,1800.259,24.20939131,1799.817,3.434261315,1800.135,8.964992262
1829.323,1.126801231,1829.335,4.041922844,1829.204,1.945934834,1829.231,26.06311133,1828.822,3.455342964,1829.1,9.476078031
1858.359,1.122962348,1858.385,2.718894468,1858.218,1.946427325,1858.279,25.72826155,1857.896,3.460106591,1858.107,8.426483715
1887.306,1.126154349,1887.41,2.673512071,1887.218,1.961426702,1887.306,26.93648338,1886.897,3.486856419,1887.185,9.386244978
1916.384,1.124397639,1916.369,4.677078062,1916.263,1.93758791,1916.299,25.62749477,1915.942,3.496478659,1916.185,9.573338306
1945.334,1.128199203,1945.442,2.727714465,1945.234,1.926068444,1945.341,25.28998765,1945.098,3.514950529,1945.224,7.561664037
1974.397,1.130168849,1974.394,5.048325107,1974.356,1.942558239,1974.314,26.5303987,1974.158,3.53070024,1974.385,9.166533969
2003.533,1.12987259,2003.447,3.477414531,2003.535,1.943123479,2003.437,24.3007042,2003.214,3.54276705,2003.447,8.592530988
2032.605,1.114355403,2032.601,5.133405931,2032.504,1.908885227,2032.627,26.03987915,2032.346,3.558919571,2032.507,8.329254519
2061.664,1.115944797,2061.659,4.454565514,2061.64,1.92247528,2061.584,23.85380548,2061.546,3.581947956,2061.646,9.394720467
2090.717,1.120275323,2090.719,4.457684209,2090.798,1.929183792,2090.731,25.95476844,2090.624,3.593551272,2090.832,8.453260498
2119.901,1.124647981,2119.783,2.928068306,2119.91,1.911058366,2119.879,24.10377369,2119.641,3.607423492,2119.908,7.540639423
2149.079,1.130406744,2148.963,4.038580174,2148.936,1.931052938,2148.983,26.16702743,2148.549,3.625926692,2148.924,9.110893118
2178.121,1.12663844,2178.141,3.374601975,2177.855,1.940573116,2178.012,24.27489736,2177.693,3.641275255,2177.838,8.060074012
2206.946,1.134438232,2207.181,3.644128309,2206.991,1.920301829,2206.935,25.84222323,2206.655,3.641530915,2206.985,7.743525478
2236.082,1.128019657,2236.007,2.348272964,2236.021,1.909204094,2236.079,24.00378561,2235.672,3.678195484,2235.945,8.317190511
2265.115,1.126467348,2265.142,3.91509326,2265.053,1.924634142,2265.103,26.34957755,2264.678,3.670620205,2264.956,8.471158715
2294.156,1.12948448,2294.175,3.221407452,2294.065,1.936805589,2294.135,26.69962338,2293.69,3.695679133,2293.967,6.92621092
2323.169,1.125490866,2323.218,4.927024203,2323.079,1.911681481,2323.146,26.79513692,2322.755,3.729316221,2322.986,7.93178763
2352.197,1.131909087,2352.226,4.75171788,2352.056,1.910073128,2352.158,26.51352008,2351.735,3.713687743,2352.042,8.4806316
2381.213,1.128787535,2381.261,5.893218447,2381.096,1.916245125,2381.129,26.11278747,2380.776,3.723301735,2381.016,7.957726553
2410.174,1.12986416,2410.271,4.898183733,2410.078,1.907987128,2410.174,24.42229837,2409.777,3.729704665,2410.068,7.107424744
2439.267,1.129296609,2439.238,4.038297072,2439.143,1.919925286,2439.161,25.25537066,2438.83,3.770454964,2439.066,6.515446184
2468.214,1.126847019,2468.325,3.934390132,2468.101,1.904843368,2468.223,27.14007404,2467.716,3.742594175,2468.129,6.194637321
2497.288,1.133503393,2497.273,5.079592047,2497.011,1.898063584,2497.192,27.01077153,2496.685,3.787504689,2497.007,7.879783993
2526.195,1.131287245,2526.357,4.239229077,2526.062,1.901004227,2526.088,25.9845613,2525.741,3.789234365,2525.973,7.055579882
2555.124,1.136529334,2555.254,4.013933622,2555.045,1.906625148,2555.15,24.06457909,2554.858,3.803400963,2555.031,6.590355998
2584.199,1.132338959,2584.184,4.635411213,2584.139,1.902800625,2584.116,25.12265873,2583.844,3.817712639,2584.142,7.005220651
2613.208,1.130824032,2613.268,5.512957702,2613.232,1.885678207,2613.225,22.6516681,2612.927,3.823866183,2613.141,7.493077094
2642.318,1.131804797,2642.278,4.773307087,2642.209,1.916853593,2642.311,24.77518497,2642.044,3.855160625,2642.199,7.523806324
2671.376,1.125974956,2671.368,4.772002386,2671.368,1.878435791,2671.293,26.07622559,2671.023,3.859124398,2671.341,6.84998384
2700.457,1.124147289,2700.441,5.189857592,2700.41,1.878899246,2700.449,24.83172857,2700.037,3.880174601,2700.324,7.823457734
2729.514,1.127210089,2729.52,4.766250856,2729.422,1.884026795,2729.492,25.64713142,2729.047,3.871835879,2729.334,7.136543344
2758.525,1.127322809,2758.581,5.09058063,2758.435,1.90117808,2758.511,27.06500727,2758.069,3.889005919,2758.345,7.099366264
2787.539,1.134588439,2787.59,4.578270205,2787.445,1.904292774,2787.525,27.0129806,2787.123,3.892325705,2787.357,6.700361326
2816.598,1.130264838,2816.607,4.805446532,2816.416,1.891877849,2816.533,26.10073881,2816.123,3.932569688,2816.419,5.958019122
2845.58,1.126534174,2845.664,4.434284736,2845.506,1.903640821,2845.493,23.52797869,2845.105,3.927065506,2845.409,5.944853382
2874.59,1.127598191,2874.646,6.306242623,2874.497,1.851439245,2874.588,27.2883481,2874.286,3.941415958,2874.39,6.060530701
2903.57,1.129083803,2903.662,4.311973404,2903.576,1.884519286,2903.588,23.03339998,2903.313,3.94943251,2903.577,6.458562683
2932.62,1.131195403,2932.64,6.394987225,2932.629,1.895586423,2932.664,27.57560278,2932.281,3.943650446,2932.613,7.201548566
2961.705,1.129759871,2961.682,5.029040508,2961.668,1.87663962,2961.705,27.35621112,2961.292,3.979403504,2961.57,6.026891997
2990.74,1.125486687,2990.778,3.923422582,2990.678,1.872062693,2990.746,25.12773288,2990.354,4.000007841,2990.583,7.553840637
3019.781,1.129668028,3019.793,5.364777517,3019.636,1.854509377,3019.759,26.18092736,3019.492,3.987443569,3019.643,6.388577196
3048.812,1.135264636,3048.842,5.802122662,3048.795,1.866052145,3048.727,26.98449902,3048.503,3.991453819,3048.788,5.818968005
3077.886,1.126417276,3077.872,5.682608654,3077.802,1.869557149,3077.884,25.20196243,3077.473,4.017487835,3077.799,6.585475033
3106.907,1.135043472,3106.948,6.057649474,3106.868,1.865183111,3106.895,21.92605654,3106.483,4.01813403,3106.76,7.307428702
3136.024,1.134663672,3135.978,5.219676513,3135.88,1.858912054,3135.949,25.48394272,3135.649,4.039906143,3135.771,5.546048767
3164.973,1.136333081,3165.077,5.83559644,3164.916,1.858419733,3164.968,24.42801712,3164.504,4.040286027,3164.944,6.840024936
3193.994,1.133941566,3194.033,6.424438285,3193.892,1.859520267,3193.985,27.98683949,3193.547,4.037392307,3193.8,6.317207864
3223.066,1.135502531,3223.066,4.214546394,3222.921,1.881636773,3222.973,25.81830626,3222.576,4.071085214,3222.846,4.950148115
3252.013,1.139087915,3252.137,5.975506682,3251.944,1.843242898,3252.004,26.48361268,3251.601,4.06922758,3251.869,6.003432143
3281.069,1.135439826,3281.065,4.475530348,3280.89,1.854972831,3281.025,24.2559974,3280.595,4.085384968,3280.896,4.927033604
